run_id,target,test_type,status,metric_1,metric_2,source_file
20260310_153533,192.168.70.142,path,tool_missing,,,network-analysis2\20260310_153533\path_192.168.70.142.txt
20260317_140530,192.168.20.1,path,tool_missing,,,network-analysis2\20260317_140530\path_192.168.20.1.txt
20260317_140536,192.168.20.60,path,tool_missing,,,network-analysis2\20260317_140536\path_192.168.20.60.txt
20260317_142058,192.168.20.1,path,tool_missing,,,network-analysis2\20260317_142058\path_192.168.20.1.txt
20260317_142104,192.168.120.1,path,tool_missing,,,network-analysis2\20260317_142104\path_192.168.120.1.txt
20260317_142217,192.168.120.61,path,tool_missing,,,network-analysis2\20260317_142217\path_192.168.120.61.txt
20260317_142500,192.168.120.1,path,tool_missing,,,network-analysis2\20260317_142500\path_192.168.120.1.txt
20260317_142544,192.168.120.61,path,tool_missing,,,network-analysis2\20260317_142544\path_192.168.120.61.txt
20260317_150015,192.168.120.1,path,ok,1,6.165333333333334,network-analysis2\20260317_150015\path_192.168.120.1.txt
20260317_150040,192.168.120.1,path,ok,1,5.015,network-analysis2\20260317_150040\path_192.168.120.1.txt
20260317_150054,192.168.120.61,path,ok,1,198.9333333333333,network-analysis2\20260317_150054\path_192.168.120.61.txt
20260317_150114,192.168.20.1,path,ok,1,5.353666666666666,network-analysis2\20260317_150114\path_192.168.20.1.txt
20260310_145136,eth0,pcap,tshark_missing,,5867,network-analysis2\20260310_145136\capture_eth0.pcap
20260310_145136,wlan0,pcap,tshark_missing,,302321,network-analysis2\20260310_145136\capture_wlan0.pcap
20260310_145338,eth0,pcap,tshark_missing,,5867,network-analysis2\20260310_145338\capture_eth0.pcap
20260310_145338,wlan0,pcap,tshark_missing,,1115,network-analysis2\20260310_145338\capture_wlan0.pcap
20260310_153335,eth0,pcap,tshark_missing,,742329549,network-analysis2\20260310_153335\capture_eth0.pcap
20260310_153335,wlan0,pcap,tshark_missing,,2283678,network-analysis2\20260310_153335\capture_wlan0.pcap
20260310_153335,wlan1,pcap,tshark_missing,,64677848,network-analysis2\20260310_153335\capture_wlan1.pcap
20260310_154447,eth0,pcap,tshark_missing,,117893,network-analysis2\20260310_154447\capture_eth0.pcap
20260310_154447,wlan0,pcap,tshark_missing,,1094729,network-analysis2\20260310_154447\capture_wlan0.pcap
20260310_154447,wlan1,pcap,tshark_missing,,64055429,network-analysis2\20260310_154447\capture_wlan1.pcap
20260317_135134,eth0,pcap,tshark_missing,,2656467040,network-analysis2\20260317_135134\capture_eth0.pcap
20260317_140428,eth0,pcap,tshark_missing,,2652527724,network-analysis2\20260317_140428\capture_eth0.pcap
20260317_141953,eth0,pcap,tshark_missing,,683851442,network-analysis2\20260317_141953\capture_eth0.pcap
20260317_141953,wlan0,pcap,tshark_missing,,108164571,network-analysis2\20260317_141953\capture_wlan0.pcap
20260317_141953,wlan1,pcap,tshark_missing,,24,network-analysis2\20260317_141953\capture_wlan1.pcap
20260317_145850,eth0,pcap,tshark_missing,,24,network-analysis2\20260317_145850\capture_eth0.pcap
20260317_145850,wlan0,pcap,tshark_missing,,36732932,network-analysis2\20260317_145850\capture_wlan0.pcap
20260317_145850,wlan1,pcap,tshark_missing,,24,network-analysis2\20260317_145850\capture_wlan1.pcap
